ticker_db,emisora,serie,yf_ticker,nombre,bolsa,tipo,tipo_raw,mercado,isin,estatus,historicos
AA1CK17,AA1CK,17,AA1CK17.MX,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAA0A0002,SUSPENDIDA,
AA2CPI18,AA2CPI,18,AA2CPI18.MX,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAA0D0009,SUSPENDIDA,
AC*,AC,*,AC*.MX,"ARCA CONTINENTAL, S.A.B. DE C.V.",BMV,Acción,"ACCIONES DE EMPRESAS COMERCIALES, INDUSTRIALES Y DE SERVICIOS",local,MX01AC100006,ACTIVA,2010-01-05 a 2026-02-27
ACCELSAB,ACCELSA,B,ACCELSAB.MX,"ACCEL, S.A.B. DE C.V.",BMV,Acción,"ACCIONES DE EMPRESAS COMERCIALES, INDUSTRIALES Y DE SERVICIOS",local,MXP000171316,ACTIVA,2010-01-05 a 2026-02-27
ACONCK19,ACONCK,19,ACONCK19.MX,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAC170016,ACTIVA,
ACONCK14,ACONCK,14,ACONCK14.MX,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAC170008,ACTIVA,
ACTINVRB,ACTINVR,B,ACTINVRB.MX,"CORPORACION ACTINVER, S.A.B. DE C.V.",BMV,Acción,"ACCIONES DE EMPRESAS COMERCIALES, INDUSTRIALES Y DE SERVICIOS",local,MX01AC0Q0007,ACTIVA,2010-05-07 a 2026-02-27
ACTLECB25L,ACTLECB,25L,ACTLECB25L.MX,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,CERTIFICADOS BURSATILES QUIROGRAFARIOS,local,MX91AC1L0010,SUSPENDIDA,
ACTPI19,ACTPI,19,ACTPI19.MX,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAC1N0002,ACTIVA,
ADMEXCK09,ADMEXCK,09,ADMEXCK09.MX,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAD030003,ACTIVA,
AEROMEX*,AEROMEX,*,AEROMEX*.MX,"GRUPO AEROMÉXICO, S.A.B. DE C.V.",BMV,Acción,"ACCIONES DE EMPRESAS COMERCIALES, INDUSTRIALES Y DE SERVICIOS",local,MX01AE010005,SUSPENDIDA,2011-04-15 a 2023-03-13
AGCCK12,AGCCK,12,AGCCK12.MX,"HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO HSBC",BMV,Acción,CERTIFICADOS DE CAPITAL DE DESARROLLO,local,MX1RAG030000,ACTIVA,
AGRIEXPA,AGRIEXP,A,AGRIEXPA.MX,"AGRO INDUSTRIAL EXPORTADORA, S.A. DE C.V.",BMV,Acción,"ACCIONES DE EMPRESAS COMERCIALES, INDUSTRIALES Y DE SERVICIOS",local,MXP001251018,SUSPENDIDA,2010-01-05 a 2014-09-01
