ticker_db,yf_ticker_corr,yf_ok,precio_yf,nombre,bolsa,tipo,isin,estatus
AC*,AC.MX,SI,207.9,"ARCA CONTINENTAL, S.A.B. DE C.V.",BMV,Acción,MX01AC100006,ACTIVA
ACCELSAB,ACCELSAB.MX,SI,22.17,"ACCEL, S.A.B. DE C.V.",BMV,Acción,MXP000171316,ACTIVA
ACONCK19,ACONCK19.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RAC170016,ACTIVA
ACONCK14,ACONCK14.MX,NO,,"BANCO NACIONAL DE MÉXICO, S.A.,  INTEGRANTE DEL GRUPO FINANCIERO BANAMEX",BMV,Acción,MX1RAC170008,ACTIVA
ACTINVRB,ACTINVRB.MX,SI,22.41,"CORPORACION ACTINVER, S.A.B. DE C.V.",BMV,Acción,MX01AC0Q0007,ACTIVA
ACTPI19,ACTPI19.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RAC1N0002,ACTIVA
ADMEXCK09,ADMEXCK09.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RAD030003,ACTIVA
AGCCK12,AGCCK12.MX,NO,,"HSBC MEXICO, S.A., INSTITUCION DE BANCA MULTIPLE, GRUPO FINANCIERO HSBC",BMV,Acción,MX1RAG030000,ACTIVA
AGUA*,AGUA.MX,SI,11.36,"GRUPO ROTOPLAS, S.A.B. DE C.V.",BMV,Acción,MX01AG050009,ACTIVA
AGUILASCPO,AGUILASCPO.MX,SI,76.0,"OLLAMANI, S.A.B",BMV,Acción,MX01AG080022,ACTIVA
AINDACK23,AINDACK23.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
AINDACK18A,AINDACK18A.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,,ACTIVA
AIONPI23,AIONPI23.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RAI080003,ACTIVA
AIONPI23-2,AIONPI23-2.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RAI080011,ACTIVA
AIONPI23-3,AIONPI23-3.MX,NO,,"CIBANCO, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE",BIVA,Acción,MX1RAI080029,ACTIVA
ALLVPCK18,ALLVPCK18.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RAL1B0007,ACTIVA
ALPEKA,ALPEKA.MX,SI,8.23,"ALPEK, S.A.B. DE C.V.",BMV,Acción,MX01AL0C0004,ACTIVA
ALSEA*,ALSEA.MX,SI,60.83,"ALSEA, S.A.B. DE C.V.",BMV,Acción,MXP001391012,ACTIVA
ALTERNAB,ALTERNAB.MX,SI,1.61,"ALTERNA ASESORIA INTERNACIONAL, S.A.B. DE C.V.",BMV,Acción,MX01AL2G0008,ACTIVA
ALTUM24,ALTUM24.MX,NO,,"BANCO ACTINVER, S.A. INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO ACTINVER",BIVA,Acción,MX1RAL1N0003,ACTIVA
ALTUMCK19-3,ALTUMCK19-3.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RAL1F0029,ACTIVA
ALTUMCK22,ALTUMCK22.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RAL1F0037,ACTIVA
ALTUMCK19-2,ALTUMCK19-2.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BIVA,Acción,MX1RAL1F0011,ACTIVA
AMICK18,AMICK18.MX,NO,,"BANCO INVEX, S.A., INSTITUCION DE BANCA MULTIPLE, INVEX GRUPO FINANCIERO",BMV,Acción,MX1RAM200001,ACTIVA
AMXB,AMXB.MX,SI,22.45,"AMERICA MOVIL, S.A.B. DE C.V.",BMV,Acción,MX01AM050019,ACTIVA
ANB*,ANB.MX,SI,1400.0,ANHEUSER-BUSCH INBEV SA/NV,BMV,Acción,BE0974293251,ACTIVA
ARA*,ARA.MX,SI,4.7,"CONSORCIO ARA, S.A.B. DE C.V.",BMV,Acción,MXP001161019,ACTIVA
ARAGOPI20D,ARAGOPI20D.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,,ACTIVA
ARISTOSA,ARISTOSA.MX,SI,13.55,"CONSORCIO ARISTOS, S.A.B. DE C.V.",BMV,Acción,MXP050421090,ACTIVA
ARTH4CK15,ARTH4CK15.MX,NO,,"CIBANCO,S.A. INSTITUCION DE BANCA MULTIPLE",BMV,Acción,MX1RAR170001,ACTIVA
